,#path, orbit, img_block, line, sample, lat, lon, an, ca, cf, rms,orbit_start,orbit_stop
102,106,86890,14,123,527,80.339147,272.83356200000003,0.612322,0.803823,1.107583,7.992069,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
103,106,86890,14,124,527,80.341072,272.831831,0.6087199999999999,0.79902,1.1027799999999999,8.588928999999998,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
104,106,86890,14,124,526,80.343272,272.829869,0.611121,0.791817,1.0967770000000001,8.22875,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
105,106,86890,14,125,526,80.34409699999999,272.829138,0.609921,0.791216,1.0967770000000001,8.108293,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
106,106,86890,14,126,525,80.347123,272.82647799999995,0.6135229999999999,0.788215,1.101579,9.427609,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
107,106,86890,14,127,525,80.350425,272.823592,0.610521,0.785213,1.099779,8.73625,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
108,106,86890,14,127,524,80.350974,272.823107,0.60812,0.774407,1.1153870000000001,9.258333,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
109,106,86890,14,128,524,80.353449,272.820912,0.59626,0.75593,1.100606,8.7525,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
110,106,86890,14,128,523,80.354824,272.819688,0.59626,0.752984,1.102373,8.61875,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
111,106,86890,14,129,523,80.356474,272.818231,0.600973,0.7535729999999999,1.0953030000000001,9.168485,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
112,106,86890,14,129,522,80.358674,272.816288,0.606276,0.7535729999999999,1.092946,8.746922999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
113,106,86890,14,130,522,80.359774,272.815308,0.606865,0.7518060000000001,1.092357,9.052857000000001,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
114,106,86890,14,130,521,80.362523,272.812817,0.605687,0.747092,1.088233,8.985,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
115,106,86890,14,131,521,80.362798,272.812565,0.605687,0.74827,1.082341,10.22075,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
116,106,86890,14,162,470,80.506968,272.993604,0.627807,0.783276,1.049115,8.14,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
117,106,86890,14,163,470,80.508927,272.98467999999997,0.626621,0.777935,1.055049,10.915455,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
118,106,86890,14,164,470,80.511128,272.975527,0.629588,0.779716,1.056829,9.769444,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
119,106,86890,14,165,470,80.513163,272.967757,0.629588,0.7838689999999999,1.06217,10.132143,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
120,106,86890,14,165,469,80.514191,272.964067,0.6349279999999999,0.7856489999999999,1.0508950000000001,8.293333,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
121,106,86890,14,166,469,80.515434,272.95982000000004,0.630774,0.781496,1.052675,14.045454999999999,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
122,106,86890,14,167,469,80.517736,272.952528,0.627807,0.7850560000000001,1.0592030000000001,11.487273,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
123,106,86890,14,168,469,80.52006300000001,272.945889,0.631368,0.781496,1.065136,10.426667,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
124,106,86890,14,168,468,80.520702,272.944192,0.629588,0.784463,1.059796,8.632222,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
125,106,86890,14,169,468,80.522627,272.939381,0.627807,0.782089,1.0657299999999998,7.100833000000001,2016-04-19 00:48:19+00:00,2016-04-19 02:27:12+00:00
