,path,orbit,lat,lon,Ca_r,Cf_r,An_r,rms
5803,152,86922,74.06074699999998,214.64054700000003,0.8310700000000001,1.38113,0.59939,5.5
5804,152,86922,74.060456,214.642081,0.8310700000000001,1.38113,0.59939,5.2
5805,152,86922,74.06071,214.640745,0.8310700000000001,1.38113,0.59939,5.69
5806,152,86922,74.060796,214.63839500000003,0.8310700000000001,1.38113,0.59939,5.62
5807,152,86922,74.060506,214.639938,0.8310700000000001,1.38113,0.59939,5.84
5808,152,86922,74.060215,214.641481,0.8310700000000001,1.38113,0.59939,5.24
5809,152,86922,74.060469,214.640129,0.8310700000000001,1.38113,0.59939,5.93
5810,152,86922,74.060558,214.637796,0.8310700000000001,1.38113,0.59939,5.5
5811,152,86922,74.06026700000002,214.639335,0.8310700000000001,1.38113,0.59939,5.93
5812,152,86922,74.059975,214.64087400000003,0.8310700000000001,1.38113,0.59939,5.48
5813,152,86922,74.060229,214.639531,0.8310700000000001,1.38113,0.59939,6.03
5814,152,86922,74.060314,214.637178,0.8310700000000001,1.38113,0.59939,5.45
5815,152,86922,74.060024,214.638721,0.8310700000000001,1.38113,0.59939,5.86
5816,152,86922,74.059733,214.640265,0.8310700000000001,1.38113,0.59939,5.37
5817,152,86922,74.05998699999998,214.638916,0.8310700000000001,1.38113,0.59939,6.0
5818,152,86922,74.060073,214.636573,0.8310700000000001,1.38561,0.60387,5.41
5819,152,86922,74.059782,214.638113,0.8310700000000001,1.38113,0.59939,5.94
5820,152,86922,74.05949100000002,214.639653,0.83705,1.3826200000000002,0.59939,5.44
5821,152,86922,74.05974499999998,214.638311,0.8310700000000001,1.38113,0.59939,5.8
5822,152,86922,74.059831,214.635965,0.8310700000000001,1.38561,0.60387,5.19
5823,152,86922,74.05954,214.637501,0.8310700000000001,1.38561,0.60387,5.63
5824,152,86922,74.059248,214.639037,0.83705,1.3826200000000002,0.59939,5.32
5825,152,86922,74.059501,214.637703,0.8310700000000001,1.38561,0.60387,5.62
5826,152,86922,74.05959200000002,214.635363,0.8310700000000001,1.38561,0.60387,5.14
5827,152,86922,74.059301,214.636901,0.8310700000000001,1.38561,0.60387,5.59
5828,152,86922,74.05901,214.638439,0.83555,1.38412,0.60238,5.22
5829,152,86922,74.059263,214.637101,0.8310700000000001,1.38561,0.60387,5.53
5830,152,86922,74.05934599999998,214.634736,0.8310700000000001,1.38561,0.60387,4.9
5831,152,86922,74.05905600000001,214.636283,0.8310700000000001,1.38561,0.60387,5.67
5832,152,86922,74.058766,214.63783,0.83555,1.38412,0.60238,5.43
5833,152,86922,74.05901999999998,214.636477,0.8310700000000001,1.38561,0.60387,5.62
5834,152,86922,74.059106,214.634139,0.8310700000000001,1.38561,0.60387,4.98
5835,152,86922,74.05881600000002,214.635679,0.83555,1.38412,0.60238,5.7
5836,152,86922,74.058525,214.63722,0.83555,1.38412,0.60238,5.44
5837,152,86922,74.058778,214.635877,0.83555,1.38412,0.60238,5.76
5838,152,86922,74.05886,214.633523,0.8310700000000001,1.38561,0.60387,5.04
5839,152,86922,74.05856899999998,214.635057,0.83555,1.38412,0.60238,5.44
5840,152,86922,74.058277,214.636592,0.83555,1.38412,0.60238,5.38
5841,152,86922,74.05853,214.635262,0.83555,1.38412,0.60238,5.57
5842,152,86922,74.058628,214.632934,0.8310700000000001,1.38561,0.60387,5.2
5843,152,86922,74.058334,214.63447,0.83555,1.38412,0.60238,5.28
5844,152,86922,74.05804,214.636005,0.83555,1.38412,0.60238,5.49
5845,152,86922,74.05829399999998,214.634678,0.83555,1.38412,0.60238,5.44
5846,152,86922,74.058387,214.632321,0.8310700000000001,1.38561,0.60387,5.32
5847,152,86922,74.05809,214.633859,0.83555,1.38412,0.60238,5.34
5848,152,86922,74.057793,214.635396,0.83555,1.38412,0.60238,5.4
5849,152,86922,74.058049,214.63407200000003,0.83555,1.38412,0.60238,5.46
5850,152,86922,74.058135,214.631709,0.8310700000000001,1.38561,0.60387,5.27
5851,152,86922,74.057845,214.633246,0.83555,1.38412,0.60238,5.42
5852,152,86922,74.05755500000002,214.634784,0.83555,1.38412,0.60238,5.34
5853,152,86922,74.05780899999998,214.63344,0.83555,1.38412,0.60238,5.51
5854,152,86922,74.05789399999998,214.631093,0.8310700000000001,1.38113,0.5964,5.22
5855,152,86922,74.05760500000002,214.63264300000003,0.83555,1.38412,0.60238,5.41
5856,152,86922,74.057317,214.634194,0.83555,1.38412,0.60238,5.52
